timestamp,colifast_LAE
2012-09-10 09:30:00,50
2012-09-10 19:30:00,400
2012-09-11 09:30:00,<50
2012-09-11 19:30:00,50
2012-09-12 09:30:00,<50
2012-09-12 19:30:00,100
2012-09-13 09:30:00,50
2012-09-13 19:30:00,<50
2012-09-14 09:30:00,<50
2012-09-14 19:30:00,100
2012-09-15 09:30:00,200
2012-09-15 19:30:00,200
2012-09-16 09:30:00,100
2012-09-16 19:30:00,50
2012-09-17 09:30:00,50
2012-09-17 19:30:00,<50
2012-09-18 09:30:00,100
2012-09-18 19:30:00,50
2012-09-19 09:30:00,50
2012-09-19 19:30:00,200
2012-09-20 09:30:00,100
2012-09-20 19:30:00,<50
2012-09-21 09:30:00,<50
2012-09-21 19:30:00,100
2012-09-22 09:30:00,<50
2012-09-22 19:30:00,100
2012-09-23 09:30:00,<50
2012-09-23 19:30:00,50
2012-09-24 09:30:00,200
2012-09-24 19:30:00,100
2012-09-25 09:30:00,<50
2012-09-25 19:30:00,100
2012-09-26 09:30:00,<50
2012-09-26 19:30:00,50
2012-09-27 09:30:00,>400
2012-09-27 19:30:00,100
2012-09-28 09:30:00,400
2012-09-28 19:30:00,50
2012-09-29 09:30:00,100
2012-09-29 19:30:00,200
2012-09-30 09:30:00,400
2012-09-30 19:30:00,100
2012-10-01 09:30:00,100
2012-10-01 19:30:00,100
2012-10-02 09:30:00,200
2012-10-02 19:30:00,200
2012-10-03 09:30:00,200
2012-10-03 19:30:00,100
2012-10-04 09:30:00,200
2012-10-04 18:30:00,50
2012-10-05 09:16:00,50
2012-10-05 19:16:00,<50
2012-10-06 09:16:00,200
2012-10-06 19:16:00,<50
2012-10-07 09:16:00,50
2012-10-07 19:16:00,<50
2012-10-08 09:16:00,<50
2012-10-08 19:16:00,<50
2012-10-09 09:16:00,<50
2012-10-09 19:16:00,50
2012-10-10 09:16:00,100
2012-10-10 19:16:00,<50
2012-10-11 09:16:00,<50
2012-10-11 19:16:00,<50
2012-10-12 09:16:00,50
2012-10-12 19:16:00,<50
2012-10-12 19:16:00,<50
2012-10-13 09:16:00,<50
2012-10-13 19:16:00,100
2012-10-14 09:16:00,50
2012-10-14 19:16:00,50
2012-10-15 09:16:00,50
2012-10-15 19:16:00,400
2012-10-16 09:16:00,400
2012-10-16 19:16:00,100
2012-10-17 09:16:00,100
2012-10-17 19:16:00,50
2012-10-18 09:16:00,400
2012-10-19 09:22:00,200
2012-10-19 19:16:00,50
2012-10-20 09:16:00,100
2012-10-20 19:16:00,200
2012-10-21 09:16:00,50
2012-10-21 19:16:00,200
2012-10-22 09:16:00,100
2012-10-22 19:16:00,100
2012-10-23 09:16:00,50
2012-10-23 19:16:00,100
2012-10-24 09:16:00,<50
2012-10-24 19:16:00,<50
2012-10-25 09:16:00,<50
2012-10-25 19:16:00,50
2012-10-26 09:16:00,200
2012-10-26 19:16:00,<50
2012-10-27 09:16:00,50
2012-10-27 19:16:00,50
2012-10-28 09:16:00,100
2012-10-28 19:16:00,50
2012-10-29 09:16:00,50
2012-10-29 19:16:00,100
2012-10-30 09:16:00,200
2012-10-30 19:16:00,>400
2012-10-31 09:16:00,400
2012-10-31 19:16:00,400
2012-11-01 09:16:00,400
2012-11-01 19:16:00,50
2012-11-02 09:16:00,100
2012-11-02 19:16:00,<50
2012-11-03 09:16:00,100
2012-11-03 19:16:00,400
2012-11-04 09:16:00,400
2012-11-04 19:16:00,50
2012-11-05 09:16:00,100
2012-11-05 19:16:00,100
2012-11-06 09:16:00,50
2012-11-06 19:16:00,400
2012-11-07 09:16:00,100
2012-11-07 19:16:00,100
2012-11-08 09:16:00,200
2012-11-08 19:16:00,50
2012-11-09 09:16:00,<50
2012-11-09 19:16:00,<50
2012-11-10 09:16:00,50
2012-11-10 19:16:00,50
2012-11-11 09:16:00,200
2012-11-11 19:16:00,50
2012-11-12 09:16:00,50
2012-11-13 17:57:00,100
2012-11-14 03:50:00,50
2012-11-14 17:50:00,50
2012-11-15 03:50:00,50
2012-11-15 17:50:00,<50
2012-11-16 03:50:00,50
2012-11-16 17:50:00,<50
2012-11-17 03:50:00,50
2012-11-17 17:50:00,<50
2012-11-18 03:50:00,50
2012-11-18 17:50:00,<50
2012-11-19 03:50:00,<50
2012-11-19 17:50:00,<50
2012-11-20 03:50:00,<50
2012-11-20 17:50:00,50
2012-11-21 03:50:00,<50
2012-11-21 17:50:00,<50
2012-11-22 03:50:00,50
2012-11-22 17:50:00,<50
2012-11-23 03:50:00,<50
2012-11-23 17:50:00,50
2012-11-24 03:50:00,<50
2012-11-24 17:50:00,<50
2012-11-25 03:50:00,50
2012-11-25 17:50:00,50
2012-11-26 03:50:00,50
2012-11-26 17:50:00,200
2012-11-27 03:50:00,>400
2012-11-27 17:50:00,400
2012-11-28 03:50:00,100
2012-11-28 17:50:00,400
2012-11-29 03:50:00,>400
2012-11-29 17:50:00,400
2012-11-30 03:50:00,>400
2012-11-30 17:50:00,100
2012-12-01 03:50:00,<50
2012-12-01 17:50:00,200
2012-12-02 03:50:00,400
2012-12-02 17:50:00,200
2012-12-03 03:50:00,50
2012-12-03 17:50:00,100
2012-12-04 03:50:00,<50
2012-12-04 17:50:00,50
2012-12-05 03:50:00,<50
2012-12-05 17:50:00,100
2012-12-06 03:50:00,100
2012-12-06 17:50:00,50
2012-12-07 03:50:00,<50
2012-12-07 17:50:00,<50
2012-12-08 03:50:00,<50
2012-12-08 17:50:00,50
2012-12-09 03:50:00,50
2012-12-09 17:50:00,50
2012-12-10 03:50:00,<50
2012-12-10 17:50:00,100
2012-12-11 11:57:00,<50
2012-12-11 21:51:00,400
2012-12-12 11:51:00,50
2012-12-12 21:51:00,50
2012-12-13 11:51:00,100
2012-12-13 21:51:00,<50
2012-12-14 11:51:00,50
2012-12-14 21:51:00,50
2012-12-15 11:51:00,50
2012-12-15 21:51:00,50
2012-12-16 11:51:00,<50
2012-12-19 08:31:00,50
2012-12-19 18:25:00,50
2012-12-20 08:25:00,50
2012-12-20 18:25:00,<50
2012-12-21 08:25:00,50
2012-12-21 18:25:00,50
2012-12-22 08:25:00,<50
2012-12-22 18:25:00,<50
2012-12-23 08:25:00,50
2012-12-23 18:25:00,<50
2012-12-24 08:25:00,<50
2012-12-24 18:25:00,50
2012-12-25 08:25:00,<50
2012-12-25 18:25:00,50
2012-12-26 08:25:00,100
2012-12-26 18:25:00,400
2012-12-27 08:25:00,200
2012-12-27 18:25:00,50
2012-12-28 08:25:00,100
2012-12-28 18:25:00,200
2012-12-29 08:25:00,100
2012-12-29 18:25:00,50
2012-12-30 08:25:00,100
2012-12-30 18:25:00,50
2012-12-31 08:25:00,>400
2012-12-31 18:25:00,200
2013-01-01 08:25:00,>400
2013-01-01 18:25:00,200
2013-01-02 08:25:00,400
2013-01-02 18:25:00,400
2013-01-03 08:25:00,200
2013-01-03 18:25:00,400
2013-01-04 08:25:00,400
2013-01-04 18:25:00,100
2013-01-05 08:25:00,400
2013-01-05 18:25:00,400
2013-01-06 08:25:00,200
2013-01-06 18:25:00,100
2013-01-07 08:25:00,<50
2013-01-07 18:25:00,100
2013-01-08 08:25:00,50
2013-01-08 18:25:00,200
2013-01-09 08:25:00,<50
2013-01-09 18:25:00,100
2013-01-10 08:25:00,400
2013-01-10 18:25:00,<50
2013-01-11 08:25:00,100
2013-01-11 18:25:00,50
2013-01-12 08:25:00,100
2013-01-12 18:25:00,50
2013-01-13 08:25:00,200
2013-01-13 18:25:00,100
2013-01-14 08:25:00,<50
2013-01-14 18:25:00,<50
2013-01-15 08:25:00,<50
2013-01-15 17:25:00,50
2013-01-16 09:47:00,50
2013-01-16 19:40:00,<50
2013-01-17 09:40:00,50
2013-01-17 19:40:00,<50
2013-01-18 09:40:00,50
2013-01-18 19:40:00,50
2013-01-19 09:40:00,50
2013-01-19 19:40:00,<50
2013-01-20 09:40:00,50
2013-01-20 19:40:00,50
2013-01-21 09:40:00,100
2013-01-21 19:40:00,50
2013-01-22 09:40:00,100
2013-01-22 19:40:00,<50
2013-01-23 09:40:00,100
2013-01-23 19:40:00,<50
2013-01-24 09:40:00,<50
2013-01-24 19:40:00,50
2013-01-25 09:40:00,<50
2013-01-25 19:40:00,50
2013-01-26 09:40:00,<50
2013-01-26 19:40:00,<50
2013-01-27 09:40:00,<50
2013-01-27 19:40:00,<50
2013-01-28 09:40:00,50
2013-01-28 19:40:00,200
2013-01-29 09:40:00,200
2013-01-29 19:40:00,100
2013-01-30 09:40:00,400
2013-01-30 19:40:00,50
2013-01-31 09:40:00,200
2013-01-31 19:40:00,200
2013-02-01 09:40:00,400
2013-02-01 19:40:00,100
2013-02-02 09:40:00,200
2013-02-02 19:40:00,50
2013-02-03 09:40:00,<50
2013-02-03 19:40:00,50
2013-02-04 09:40:00,<50
