SampleID,Location,Date,Escherichia_coli_per100ml
R1200600-07,GÄVGAXXS,2012-07-15 00:10,<50
R1200600-08,GÄVGAXXS,2012-07-15 14:10,50
R1200600-09,GÄVGAXXS,2012-07-16 00:10,<50
R1200600-10,GÄVGAXXS,2012-07-16 14:10,<50
R1200600-11,GÄVGAXXS,2012-07-17 00:10,50
R1200600-12,GÄVGAXXS,2012-07-17 14:10,200
R1200600-13,GÄVGAXXS,2012-07-18 00:10,<50
R1200600-14,GÄVGAXXS,2012-07-18 14:10,50
R1200600-15,GÄVGAXXS,2012-07-19 00:10,50
R1200600-16,GÄVGAXXS,2012-07-19 14:10,100
R1200600-17,GÄVGAXXS,2012-07-20 00:10,200
R1200600-18,GÄVGAXXS,2012-07-20 14:10,50
R1200600-19,GÄVGAXXS,2012-07-21 00:10,400
R1200600-20,GÄVGAXXS,2012-07-21 14:10,<50
R1200600-21,GÄVGAXXS,2012-07-22 00:10,50
R1200600-22,GÄVGAXXS,2012-07-22 14:10,100
R1200600-23,GÄVGAXXS,2012-07-23 00:10,50
R1200600-24,GÄVGAXXS,2012-07-23 14:10,50
R1200600-25,GÄVGAXXS,2012-07-24 00:10,50
R1200600-26,GÄVGAXXS,2012-07-24 14:10,<50
R1200600-27,GÄVGAXXS,2012-07-25 00:10,50
R1200600-28,GÄVGAXXS,2012-07-25 14:10,<50
R1200600-29,GÄVGAXXS,2012-07-26 00:10,<50
R1200600-30,GÄVGAXXS,2012-07-26 14:10,<50
R1200600-31,GÄVGAXXS,2012-07-27 00:10,<50
R1200600-32,GÄVGAXXS,2012-07-27 14:10,<50
R1200600-33,GÄVGAXXS,2012-07-28 00:10,200
R1200628-00,GÄVGAXXS,2012-09-04 15:24,200
R1200628-01,GÄVGAXXS,2012-09-05 01:17,200
R1200628-02,GÄVGAXXS,2012-09-05 15:17,100
R1200628-03,GÄVGAXXS,2012-09-06 01:17,100
R1200628-04,GÄVGAXXS,2012-09-06 15:17,100
R1200628-05,GÄVGAXXS,2012-09-07 01:17,400
R1200628-06,GÄVGAXXS,2012-09-07 15:17,200
R1200628-07,GÄVGAXXS,2012-09-08 01:17,200
R1200628-08,GÄVGAXXS,2012-09-08 15:17,100
R1200628-09,GÄVGAXXS,2012-09-09 01:17,100
R1200628-10,GÄVGAXXS,2012-09-09 15:17,200
R1200628-11,GÄVGAXXS,2012-09-10 01:17,100
R1200628-12,GÄVGAXXS,2012-09-10 15:17,<50
R1200628-13,GÄVGAXXS,2012-09-11 01:17,<50
R1200628-14,GÄVGAXXS,2012-09-11 15:17,50
R1200628-15,GÄVGAXXS,2012-09-12 01:17,100
R1200628-16,GÄVGAXXS,2012-09-12 15:17,100
R1200637-00,GÄVGAXXS,2012-09-13 13:03,<50
R1200637-01,GÄVGAXXS,2012-09-13 22:56,100
R1200637-02,GÄVGAXXS,2012-09-14 12:56,>400
R1200637-03,GÄVGAXXS,2012-09-14 22:56,>400
R1200637-04,GÄVGAXXS,2012-09-15 12:56,>400
R1200637-05,GÄVGAXXS,2012-09-15 22:56,100
R1200637-06,GÄVGAXXS,2012-09-16 12:56,50
R1200637-07,GÄVGAXXS,2012-09-16 22:56,100
R1200638-00,GÄVGAXXS,2012-09-19 09:34,200
R1200638-01,GÄVGAXXS,2012-09-19 19:34,400
R1200638-02,GÄVGAXXS,2012-09-20 09:34,50
